FRA SLC EDDF KSLC
FRA SOF EDDF LBSF
FRA SPC EDDF GCLA
FRA SPU EDDF LDSP
FRA SSG EDDF FGSL
FRA STL EDDF KSTL
FRA STR EDDF EDDS
FRA SVG EDDF ENZV
FRA SVQ EDDF LEZL
FRA SXB EDDF LFST
FRA SZG EDDF LOWS
FRA TFS EDDF GCTS
FRA TIA EDDF LATI
FRA TIV EDDF LYTV
FRA TLL EDDF EETN
FRA TLS EDDF LFBO
FRA TLV EDDF LLBG
FRA TOS EDDF ENTC
FRA TPA EDDF KTPA
FRA TRN EDDF LIMF
FRA TRS EDDF LIPQ
FRA TSR EDDF LRTR
FRA TUN EDDF DTTA
FRA URA EDDF UARR
FRA USH EDDF SAWH
FRA VAR EDDF LBWN
FRA VCE EDDF LIPZ
FRA VFA EDDF FVFA
FRA VIE EDDF LOWW
FRA VLC EDDF LEVC
FRA VNO EDDF EYVI
FRA VRN EDDF LIPX
FRA WAW EDDF EPWA
FRA WDH EDDF FYWH
FRA WRO EDDF EPWR
FRA XRY EDDF LEJR
FRA YHZ EDDF CYHZ
FRA YUL EDDF CYUL
FRA YVR EDDF CYVR
FRA YYC EDDF CYYC
FRA YYZ EDDF CYYZ
FRA ZAD EDDF LDZD
FRA ZAG EDDF LDZA
FRA ZNZ EDDF HTZA
FRA ZRH EDDF LSZH
FRA ZTH EDDF LGZA
FSC ZRH LFKF LSZH
FSD DEN KFSD KDEN
FSD ORD KFSD KORD
FUE FRA GCFV EDDF
FUE MUC GCFV EDDM
FUE VIE GCFV LOWW
FUE ZRH GCFV LSZH
FUK HND RJFF RJTT
FWA ORD KFWA KORD
GDN FRA EPGD EDDF
GDN MUC EPGD EDDM
GDN WAW EPGD EPWA
GDN ZRH EPGD LSZH
GEG DEN KGEG KDEN
GEG SFO KGEG KSFO
GEO PTY SYCJ MPTO
GIG FOR SBGL SBFZ
GIG GRU SBGL SBGR
